Country,Casualty Severity,"Frequency Per 1,000,000 Inhabitants"
England,Fatal,27.10425895662318
England,Serious,387.2398866419555
England,Slight,2546.606162288976
Scotland,Fatal,35.33961181934242
Scotland,Serious,313.43090273280666
Scotland,Slight,1664.8472625677653
Wales,Fatal,33.085460064564835
Wales,Serious,322.82414917366657
Wales,Slight,1846.0401843791658
